Area swiggy,Restaurant city swiggy,Restaurant,Price swiggy,Ratings swiggy,Total ratings,Food type swiggy,Customer address swiggy,Delivery time swiggy,_c0,restaurant type,Ratings zomato,Total ratings zomato,Price zomato,online_order,table booking,Food type zomato,Area zomato,Address zomato
Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,6058,Casual Dining,2.2,90,750.0,No,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,"Mughlai,Lucknowi",5Th Block,56,6712,Casual Dining,3.8,721,500.0,Yes,No,"North Indian, Rolls, Kebab",Indiranagar,Indiranagar
Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,4301,Quick Bites,3.2,393,400.0,Yes,No,"North Indian, Chinese",Indiranagar,Old Airport Road
Indiranagar,Bangalore,Treat,800.0,4.5,100,"Mughlai,North Indian",100 Feet Road,56,6678,Casual Dining,3.8,60,800.0,Yes,No,"North Indian, Mughlai",Brookefield,Whitefield
Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,"Mexican,Beverages,Salads",Double Road,53,1445,Casual Dining,4.4,2658,1200.0,No,No,Mexican,Indiranagar,Indiranagar
Domlur,Bangalore,Tea Brew,350.0,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,6145,"Cafe, Casual Dining",4.1,1141,500.0,Yes,No,"Cafe, Continental, Momos, Italian, North Indian",Indiranagar,Indiranagar
Koramangala,Bangalore,Bangaliana,300.0,4.0,500,Bengali,7Th Block,57,576,Casual Dining,3.0,61,600.0,Yes,No,Bengali,Electronic City,Electronic City
Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,"Mughlai,North Indian",7Th Block,52,109,Casual Dining,3.5,888,650.0,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100,"Kerala,Seafood",Domlur Layout,55,3284,Quick Bites,3.8,305,300.0,Yes,No,"Kerala, South Indian, Seafood, Biryani",Koramangala 5th Block,Domlur
Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48,4125,Casual Dining,4.0,920,600.0,No,No,"Andhra, Biryani",Basavanagudi,Jayanagar
Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,"Mughlai,Bengali",I Indirangar,54,2037,Casual Dining,4.3,1563,1000.0,No,No,Bengali,Indiranagar,Indiranagar
Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53,2725,"Casual Dining, Bar",3.4,8,550.0,Yes,No,"Chinese, Mangalorean, Seafood, North Indian",Kalyan Nagar,Hennur
Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59,3764,Casual Dining,4.4,2558,1600.0,Yes,Yes,"Asian, Thai, Chinese, BBQ, Momos",Indiranagar,Indiranagar
Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58,2861,Casual Dining,4.0,1369,600.0,Yes,No,"Biryani, North Indian",Electronic City,Electronic City
Richmond Town,Bangalore,Fanoos,300.0,4.2,500,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,33,2069,Quick Bites,3.9,132,400.0,Yes,No,"Arabian, Rolls, North Indian, BBQ",Frazer Town,Frazer Town
Richmond Town,Bangalore,In Wok,500.0,4.3,100,Chinese,Richmond,44,2912,Casual Dining,3.6,118,500.0,Yes,No,Chinese,Brigade Road,Richmond Road
Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,31,3501,"Dessert Parlor, Cafe",2.8,40,500.0,No,No,"Desserts, Cafe, Fast Food",Kalyan Nagar,Kalyan Nagar
Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80,"Chinese,Continental,Fast Food",Church Street,33,1041,Casual Dining,3.4,50,600.0,Yes,No,"North Indian, Chinese, European",Brigade Road,Church Street
Ashok Nagar,Bangalore,Roomali,1000.0,4.4,100,"North Indian,Indian",Church Street,35,5075,Casual Dining,4.0,171,1300.0,No,Yes,North Indian,Brigade Road,Church Street
Ashok Nagar,Bangalore,Tadka Singh,300.0,4.2,100,"Punjabi,North Indian",Church Street,38,6028,Casual Dining,3.4,946,,No,No,North Indian,Indiranagar,Indiranagar
Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,58,3462,Casual Dining,4.0,869,1100.0,No,Yes,"North Indian, Mughlai",Indiranagar,Indiranagar
Kalighat,Kolkata,Tamarind,1100.0,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,73,6048,Casual Dining,2.7,227,750.0,Yes,No,"Chinese, North Indian, Continental",Kalyan Nagar,Rammurthy Nagar
Pulikeshi Nagar,Bangalore,Pathaan Sir,300.0,4.2,100,Fast Food,Coles Road,47,4650,Quick Bites,3.2,33,250.0,Yes,No,"Fast Food, Rolls, Momos",Bannerghatta Road,Bannerghatta Road
Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar,56,1295,Cafe,3.0,1275,,No,No,Cafe,Old Airport Road,Indiranagar
Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56,6505,Casual Dining,4.1,500,600.0,Yes,No,"North Indian, Chinese",Malleshwaram,Rajajinagar
